Category: All categories,,,
,,,
Region,Spring roll: (3/14/23 - 3/14/24),egg: (3/14/23 - 3/14/24),cake: (3/14/23 - 3/14/24)
Guangdong,1%,53%,46%
Beijing,,52%,48%
Tianjin,,57%,43%
Hebei,,100%,
Shanxi,,,
Inner Mongolia,,100%,
Liaoning,,59%,41%
Jilin,,100%,
Heilongjiang,,,100%
Shanghai,,50%,50%
Jiangsu,,50%,50%
Zhejiang,,60%,40%
Anhui,,,100%
Fujian,,53%,47%
Jiangxi,,,100%
Shandong,,60%,40%
Henan,,33%,67%
Hubei,,59%,41%
Hunan,,100%,
Guangxi,,46%,54%
Hainan,,,
Chongqing,,100%,
Sichuan,,48%,52%
Guizhou,,,
Yunnan,,,100%
Tibet,,28%,72%
Shaanxi,,42%,58%
Gansu,,,
Qinghai,,,
Ningxia,,,
Xinjiang,,,100%